Monitoring date,Monitoring point,Average temperature,Average humidity,Average wind speed,Average soil moisture content,Dead fuel moisture content
2025/1/9,林内100,-8.5,52.2,0.78,,0.08
,林内200,-11.58,63.58,0.25,,0.1
,林内300,-11.65,63.73,0.45,,0.19
2025/4/19,林内100,23.15,44.08,1.1,,0.06
,林内200,23.9,41.8,1.53,,0.08
,林内300,20.13,50.78,0.95,,0.06
2025/5/3,林内100,13.1,72.2,0.08,,0.41
,林内200,13.33,73.35,0.23,,0.18
,林内300,13.9,68.3,0.43,,0.26
2025/5/18,林内100,20.95,42.28,0.3,,0.31
,林内200,25.83,32.88,0.85,,0.18
,林内300,21.98,37.68,0.9,,0.23
2025/6/1,林内100,27.45,46.68,0.6,,0.29
,林内200,27.38,47.35,0.4,,0.14
,林内300,26.58,49.63,0.48,,0.15
2025/6/13,林内100,28.8,62.15,0.58,,0.13
,林内200,28.9,61.15,0.55,,0.01
,林内300,25.98,74.78,0.43,,0.08
2025/9/7,林内100,29.08,47.63,0.45,,0.2
,林内200,29.68,46.05,0.38,,0.15
,林内300,29.05,47.6,0.55,,0.21
2025/9/20,林内100,28.05,39.6,0.18,,0.15
,林内200,24.58,42.38,0.03,,0.09
,林内300,22.48,45.55,0.33,,0.12
2025/9/27,林内100,26.8,48.8,0.23,,0.13
,林内200,27.55,52.53,0.55,,0.13
,林内300,25.33,56.9,0.55,,0.2
2025/10/7,林内100,19.38,34.65,0.08,11.35,0.11
,林内200,16.65,39.7,0.13,11.57333333,0.03
,林内300,13.93,40.43,0.05,5.946666667,0.14
2025/10/1,林内100,15.78,43.75,,19.64,0.22
,林内200,12.88,48.08,,8.78,0.16
,林内300,11.5,57.35,,11.62333333,0.2
2025/10/18,林内100,8.05,54.53,0.18,11.59666667,
,林内200,6.1,55.9,0,11.56,
,林内300,2.05,63.55,0,,
